ball_pos goalie_pos tackle_prob_l tackle_prob_r 
(-50, 2) (-51, 3) 0.640803
(-50, 2) (-50.5, 3) 0.302221
(-50, 2) (-50.5, 3.5) 0.839451
(-50, 3) (-52.5, 4) 0.705656
(-50, 3) (-52.5, 6.5) 0.924172
(-50, 3) (-52.5, 7) 0.578337
(-50, 3) (-52, 3.5) 0.111964
(-50, 3) (-52, 4) 0.844449
(-50, 3) (-52, 7) 0.758801
(-50, 3) (-51.5, 3.5) 0.118585
(-50, 3) (-51.5, 4) 0.846518
(-50, 3) (-51.5, 7) 0.761574
(-50, 3) (-51, 4) 0.71509
(-50, 3) (-50.5, 4) 0.257258
(-50, 4) (-52.5, 4.5) 0.661012
(-50, 4) (-52.5, 7.5) 0.868179
(-50, 4) (-52.5, 8) 0.233821
(-50, 4) (-52, 4.5) 0.707205
(-50, 4) (-52, 7.5) 0.89235
(-50, 4) (-52, 8) 0.314297
(-50, 4) (-51.5, 4.5) 0.56826
(-50, 4) (-51.5, 7.5) 0.817257
(-50, 4) (-51, 4.5) 0.0800493
(-50, 4) (-51, 5) 0.751517
(-50, 4) (-50.5, 5) 0.0860438
(-50, 9) (-52.5, 5) 0.217723
(-50, 9) (-52.5, 5.5) 0.864854
(-50, 9) (-52.5, 8.5) 0.673238
(-50, 9) (-52, 5) 0.294311
(-50, 9) (-52, 5.5) 0.887972
(-50, 9) (-52, 8.5) 0.715543
(-50, 9) (-51.5, 5) 0.0466705
(-50, 9) (-51.5, 5.5) 0.808936
(-50, 9) (-51.5, 8.5) 0.57549
(-50, 9) (-51, 5.5) 0.497819
(-50, 9) (-51, 6) 0.866082
(-50, 9) (-51, 8) 0.751517
(-50, 9) (-51, 8.5) 0.0860558
(-50, 9) (-50.5, 6) 0.373853
(-50, 9) (-50.5, 6.5) 0.660987
(-50, 9) (-50.5, 7) 0.707188
(-50, 9) (-50.5, 7.5) 0.568245
(-50, 9) (-50.5, 8) 0.0800372
(-50, 10) (-52.5, 6) 0.576346
(-50, 10) (-52.5, 6.5) 0.924172
(-50, 10) (-52.5, 9) 0.713407
(-50, 10) (-52, 6) 0.755499
(-50, 10) (-52, 9) 0.8481
(-50, 10) (-52, 9.5) 0.126901
(-50, 10) (-51.5, 6) 0.756373
(-50, 10) (-51.5, 9) 0.848736
(-50, 10) (-51.5, 9.5) 0.128942
(-50, 10) (-51, 6) 0.580119
(-50, 10) (-51, 9) 0.716313
(-50, 10) (-50.5, 6) 0.0057765
(-50, 10) (-50.5, 6.5) 0.69886
(-50, 10) (-50.5, 7) 0.897832
(-50, 10) (-50.5, 8) 0.916599
(-50, 10) (-50.5, 8.5) 0.774003
(-50, 10) (-50.5, 9) 0.255518
(-50, 11) (-52.5, 7) 0.584748
(-50, 11) (-52.5, 7.5) 0.900214
(-50, 11) (-52.5, 9.5) 0.799879
(-50, 11) (-52.5, 10) 0.201609
