ball_pos goalie_pos tackle_prob_l tackle_prob_r 
(-51, 14) (-52, 6.5) 1 0.470337
(-51, 14) (-52, 7) 1 0.924169
(-51, 14) (-52, 9.5) 0.868729 1
(-51, 14) (-51.5, 6.5) 1 0.253089
(-51, 14) (-51.5, 7) 1 0.858186
(-51, 14) (-51.5, 9.5) 0.922226 0.897929
(-51, 14) (-51.5, 12.5) 0.80861 0.858146
(-51, 15) (-52.5, 4.5) 1 0.776052
(-51, 15) (-52.5, 10) 0.901265 1
(-51, 15) (-52, 4.5) 1 0.728094
(-51, 15) (-52, 10.5) 0.863499 1
(-51, 15) (-51.5, 10.5) 0.921264 0.912074
(-51, 16) (-52.5, 5.5) 1 0.791215
(-51, 16) (-52.5, 9.5) 0.920643 1
(-51, 16) (-52, 5.5) 1 0.777119
(-51, 16) (-52, 11.5) 0.858504 1
(-51, 16) (-51.5, 11.5) 0.920307 0.919649
(-51, 17) (-52.5, 6.5) 1 0.794963
(-51, 17) (-52, 6.5) 1 0.804356
(-51, 17) (-51.5, 12.5) 0.919363 0.923776
(-51, 18) (-52.5, 4) 1 0.635019
(-51, 18) (-52, 4) 1 0.598775
(-51, 18) (-51.5, 13.5) 0.918437 1
(-51, 19) (-52.5, 5) 1 0.646663
(-51, 19) (-52, 5) 1 0.634978
(-51, 19) (-51.5, 14.5) 0.917532 1
(-51, 20) (-52.5, 2.5) 1 0.263051
(-51, 20) (-52.5, 3) 1 0.881941
(-51, 20) (-52, 2.5) 1 0.201251
(-51, 20) (-52, 3) 1 0.866463
(-51, 20) (-51.5, 15.5) 0.916652 1
(-50, 9) (-52, 5) 0.387912 0.294311
(-50, 9) (-52, 5.5) 0.722829 0.887972
(-50, 9) (-52, 6) 0.804943 1
(-50, 9) (-52, 6.5) 0.746498 1
(-50, 9) (-52, 7) 0.466921 1
(-50, 9) (-51.5, 5) 0.850356 0.0466705
(-50, 9) (-51.5, 5.5) 1 0.808936
(-50, 9) (-51.5, 7) 0.88041 1
(-50, 9) (-51.5, 7.5) 0.496357 1
(-50, 9) (-51, 5.5) 1 0.497819
(-50, 9) (-51, 6) 1 0.866082
(-50, 9) (-51, 7.5) 0.781319 1
(-50, 9) (-50.5, 6) 1 0.373853
(-50, 9) (-50.5, 6.5) 1 0.660987
(-50, 9) (-50.5, 7) 1 0.707188
(-50, 9) (-50.5, 7.5) 0.847451 0.568245
(-50, 9) (-50.5, 8) 0.108987 0.0800372
(-50, 10) (-52, 6) 0.344951 0.755499
(-50, 10) (-52, 6.5) 0.695826 1
(-50, 10) (-52, 7) 0.7823 1
(-50, 10) (-52, 7.5) 0.718194 1
(-50, 10) (-52, 8) 0.418521 1
(-50, 10) (-51.5, 6) 0.839664 0.756373
(-50, 10) (-51.5, 8) 0.867777 1
(-50, 10) (-51.5, 8.5) 0.461645 1
(-50, 10) (-51, 6) 1 0.580119
(-50, 10) (-51, 8.5) 0.769332 1
(-50, 10) (-50.5, 6) 1 0.0057765
(-50, 10) (-50.5, 6.5) 1 0.69886
(-50, 10) (-50.5, 7) 1 0.897832
(-50, 10) (-50.5, 8) 1 0.916599
(-50, 10) (-50.5, 8.5) 0.844216 0.774003
(-50, 10) (-50.5, 9) 0.0954348 0.255518
(-50, 11) (-52, 6.5) 0.587419 0.127285
(-50, 11) (-52, 7) 0.304002 0.835067
(-50, 11) (-52, 7.5) 0.669804 1
(-50, 11) (-52, 8) 0.760344 1
(-50, 11) (-52, 8.5) 0.690919 1
