ball_pos goalie_pos tackle_prob_l tackle_prob_r 
(-51, 4) (-51.5, 3) 0.283891
(-51, 5) (-52.5, 0.5) 0.555561
(-51, 5) (-52.5, 3.5) 0.811515
(-51, 5) (-52.5, 4) 0.061031
(-51, 5) (-52, 0.5) 0.704391
(-51, 5) (-52, 3.5) 0.891899
(-51, 5) (-52, 4) 0.313314
(-51, 5) (-51.5, 0.5) 0.665511
(-51, 5) (-51.5, 3.5) 0.871686
(-51, 5) (-51.5, 4) 0.245809
(-51, 6) (-52.5, -1.5) 0.361563
(-51, 6) (-52.5, -1) 0.902582
(-51, 6) (-52.5, 2) 0.911319
(-51, 6) (-52.5, 4.5) 0.72982
(-51, 6) (-52, -1.5) 0.267443
(-51, 6) (-52, -1) 0.874611
(-51, 6) (-52, 4.5) 0.862711
(-51, 6) (-52, 5) 0.19309
(-51, 6) (-51.5, 1.5) 0.845842
(-51, 6) (-51.5, 4.5) 0.867132
(-51, 6) (-51.5, 5) 0.207559
(-51, 7) (-52.5, -0.5) 0.411587
(-51, 7) (-52.5, 0) 0.909982
(-51, 7) (-52.5, 3) 0.893338
(-51, 7) (-52.5, 5.5) 0.651823
(-51, 7) (-52, -0.5) 0.427525
(-51, 7) (-52, 0) 0.914505
(-51, 7) (-52, 5.5) 0.835297
(-51, 7) (-52, 6) 0.0901391
(-51, 7) (-51.5, 2.5) 0.886682
(-51, 7) (-51.5, 5.5) 0.861171
(-51, 7) (-51.5, 6) 0.172991
(-51, 8) (-52.5, 0.5) 0.412583
(-51, 8) (-52.5, 1) 0.905758
(-51, 8) (-52.5, 4) 0.874536
(-51, 8) (-52.5, 6) 0.909339
(-51, 8) (-52.5, 6.5) 0.579998
(-51, 8) (-52, 0.5) 0.501068
(-51, 8) (-52, 6.5) 0.810282
(-51, 8) (-52, 7) 0.0022216
(-51, 8) (-51.5, 3.5) 0.906269
(-51, 8) (-51.5, 6.5) 0.855031
(-51, 8) (-51.5, 7) 0.142692
(-51, 9) (-52.5, -1.5) 0.78571
(-51, 9) (-52.5, 4.5) 0.903506
(-51, 9) (-52.5, 5) 0.855925
