20 qid:201507091601080022 1:-4.78298 2:12.4609 3:12.4609 4:25.1871 5:26.5311 6:26.5311 7:13.0568 8:14.9725 9:1 10:0 11:1 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 23:56.154 24:0 25:0 26:31.145 27:0 28:9.64537e-06 29:0 30:0 31:4 32:35
10 qid:201507091601080022 1:-4.78298 2:12.4609 3:12.4609 4:-2.47729 5:12.7428 6:12.7428 7:13.0568 8:14.9725 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 23:56.4348 24:0 25:0 26:45.7863 27:0 28:0.00317638 29:0 30:0 31:1 32:4
10 qid:201507091601080022 1:-4.78298 2:12.4609 3:12.4609 4:-2.18108 5:15.5332 6:15.5332 7:13.0568 8:14.9725 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 23:56.8445 24:0 25:0 26:46.3607 27:0 28:0.00138357 29:0 30:0 31:1 32:7
10 qid:201507091601080022 1:-4.78298 2:12.4609 3:12.4609 4:20.7623 5:29.2039 6:29.2039 7:13.0568 8:14.9725 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 23:56.9543 24:0 25:0 26:35.8179 27:0 28:2.14553e-05 29:0 30:0 31:4 32:34
5 qid:201507091601080022 1:-4.78298 2:12.4609 3:12.4609 4:-10.2274 5:-1.30851 6:1.30851 7:13.0568 8:14.9725 9:0 10:0 11:0 12:0 13:0 14:0 15:1 16:0 17:0 18:3.32841 19:3.39698 20:0 21:0 22:0 23:62.741 24:0 25:0 26:51.7439 27:0 28:3.07155e-06 29:0 30:0 31:1 32:9
5 qid:201507091601080022 1:-4.78298 2:12.4609 3:12.4609 4:-11.6334 5:-14.0923 6:14.0923 7:13.0568 8:14.9725 9:0 10:0 11:0 12:0 13:0 14:0 15:1 16:0 17:0 18:3.29855 19:25.2578 20:0 21:0.00178338 22:0 23:65.6635 24:0 25:0 26:54.9705 27:0 28:4.35232e-10 29:0 30:0 31:1 32:14
0 qid:201507091601080022 1:-4.78298 2:12.4609 3:12.4609 4:-10.6468 5:18.7873 6:18.7873 7:13.0568 8:14.9725 9:0 10:0 11:0 12:0 13:0 14:0 15:1 16:0 17:0 18:3.3 19:32.1755 20:0 21:0 22:0 23:65.8823 24:0 25:0 26:55.4279 27:0 28:9.81958e-08 29:0 30:0 31:1 32:10
20 qid:201507091601080029 1:-1.56414 2:14.5093 3:14.5093 4:-1.83655 5:16.1147 6:16.1147 7:11.926 8:12.39 9:1 10:0 11:1 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 23:56.6758 24:0 25:0 26:46.2357 27:0 28:0.124025 29:0 30:0 31:1 32:4
15 qid:201507091601080029 1:-1.56414 2:14.5093 3:14.5093 4:-13.44 5:17.03 6:17.03 7:11.926 8:12.39 9:0 10:0 11:0 12:0 13:0 14:1 15:0 16:0 17:0 18:0 19:0 20:0 21:0.347896 22:0 23:68.1036 24:0 25:0 26:57.5189 27:0 28:6.13744e-10 29:0 30:0 31:1 32:7
10 qid:201507091601080029 1:-1.56414 2:14.5093 3:14.5093 4:-13.7802 5:18.0761 6:18.0761 7:11.926 8:12.39 9:0 10:0 11:0 12:0 13:0 14:0 15:1 16:0 17:0 18:1.1 19:108.017 20:0 21:0.347896 22:0 23:68.7009 24:0 25:0 26:58.1605 27:0 28:1.73497e-10 29:0 30:0 31:1 32:9
